"IPIP NEO (Goldberg, 1999)",Rater56,Rater57,Rater58,Rater59,Rater60,Rater61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am easily intimidated.,-2,-2,-2,-3,-3,-2,-2.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am always busy.,0,1,-1,0,2,1,0.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefer variety to routine.,0,0,0,1,0,0,0.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am easy to satisfy.,1,3,3,2,1,3,2.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go straight for the goal.,2,2,2,3,2,2,2.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Often eat too much.,-2,-3,-2,-2,-2,-3,-2.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love excitement.,2,0,0,2,1,0,0.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am often down in the dumps.,-2,-1,-2,-3,-3,-1,-2.00000
Like to solve complex problems.,3,0,0,3,3,0,1.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Can talk others into doing things.,3,1,-2,2,3,1,1.33333
Dislike being the center of attention.,-1,0,0,-2,1,0,-0.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am passionate about causes.,3,2,2,3,3,2,2.50000
Get chores done right away.,2,3,2,1,3,3,2.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love to help others.,4,4,3,4,4,4,3.83333
Panic easily.,-3,-2,-3,-3,-2,-2,-2.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pay my bills on time.,1,4,2,2,2,4,2.50000
Radiate joy.,4,3,4,3,2,3,3.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Find it difficult to approach others.,-1,-1,-1,-3,-3,-1,-1.66667
Tend to vote for liberal political candidates.,0,0,0,0,1,0,0.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do a lot in my spare time.,3,0,1,1,2,0,1.16667
Sympathize with the homeless.,3,3,3,2,1,3,2.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interested in many things.,2,0,1,2,1,0,1.00000
Avoid mistakes.,2,1,1,3,1,1,1.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hate to seem pushy.,1,2,3,2,-2,2,1.33333
Fear for the worst.,-2,-1,-2,-2,-2,-1,-1.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turn plans into actions.,3,2,3,3,-2,2,1.83333
Warm up quickly to others.,2,2,2,3,3,2,2.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do things I later regret.,-2,-2,-3,-3,-2,-2,-2.33333
Enjoy wild flights of fantasy.,2,0,0,-2,-1,0,-0.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love action.,1,0,0,2,2,0,0.83333
Believe that others have good intentions.,2,2,1,3,1,2,1.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Have a rich vocabulary.,4,0,0,2,,0,1.20000
Excel in what I do.,4,0,3,4,4,2,2.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consider myself an average person.,1,2,0,-2,-4,2,-0.16667
Get irritated easily.,-3,-2,-4,-4,-2,-2,-2.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start tasks right away.,3,2,2,2,3,2,2.33333
Talk to a lot of different people at parties.,3,0,2,4,3,0,2.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feel that I'm unable to deal with things.,-2,-2,-3,-3,-2,-2,-2.33333
Like music.,1,0,,0,3,0,0.80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Express childlike joy.,2,0,2,3,1,0,1.33333
Stick to the rules.,1,3,2,3,2,3,2.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Believe that criminals should receive help rather than punishment.,0,0,0,2,-1,0,0.16667
Like to tidy up.,3,1,2,2,1,1,1.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Value cooperation over competition.,3,1,2,3,2,1,2.00000
Dislike myself.,-3,-2,-4,-4,-3,-2,-3.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stick to my chosen path.,1,0,0,-2,0,0,-0.16667
Try to lead others.,2,2,2,3,3,2,2.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Get stressed out easily.,-2,-2,-3,-3,-3,-2,-2.50000
Feel others' emotions.,2,3,3,3,2,3,2.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Act comfortably with others.,2,1,3,4,3,1,2.33333
Anticipate the needs of others.,3,1,3,3,3,1,2.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Like to get lost in thought.,1,0,0,-1,-1,0,-0.16667
Keep my promises.,4,4,4,3,4,4,3.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Believe that people are basically moral.,2,2,3,2,2,2,2.16667
Am afraid that I will do the wrong thing.,1,-1,2,-3,-2,-1,-0.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am sure of my ground.,3,1,3,1,3,1,2.00000
Am always on the go.,0,0,0,2,-1,0,0.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am often in a bad mood.,-3,-2,-3,-4,-3,-2,-2.83333
Like to visit new places.,2,0,0,2,3,0,1.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Involve others in what I am doing.,2,1,2,2,2,1,1.66667
Can't stand confrontations.,-1,-1,2,-2,1,-1,-0.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love flowers.,0,0,0,0,1,0,0.16667
Work hard.,4,3,3,3,3,3,3.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Use others for my own ends.,-3,-2,-2,-4,-3,-2,-2.66667
Don't know why I do some of the things I do.,-2,0,-1,-1,-2,0,-1.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love order and regularity.,0,0,0,1,1,0,0.33333
Seek adventure.,2,0,0,1,2,0,0.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Have a low opinion of myself.,-2,-1,-2,-3,-2,-1,-1.83333
Love to read challenging material.,2,0,0,1,1,0,0.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seek to influence others.,1,0,0,2,,0,0.60000
Dislike talking about myself.,1,0,2,-2,0,0,0.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enjoy examining myself and my life.,2,1,0,1,3,1,1.33333
Am always prepared.,3,2,2,2,4,2,2.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am concerned about others.,3,3,3,4,-2,3,2.33333
Become overwhelmed by events.,-3,-1,-2,-3,-3,-1,-2.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tell the truth.,3,4,4,3,3,4,3.50000
Have a lot of fun.,3,2,3,2,3,2,2.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am afraid to draw attention to myself.,-1,0,0,-2,1,0,-0.33333
Believe that there is no absolute right or wrong.,0,1,3,-3,1,1,0.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Can manage many things at the same time.,2,2,2,1,2,2,1.83333
Feel sympathy for those who are worse off than myself.,3,2,3,4,3,2,2.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Like to begin new things.,2,1,1,2,2,1,1.50000
Choose my words with care.,3,1,4,3,2,1,2.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Have a sharp tongue.,-2,-3,-2,-3,-2,-3,-2.50000
Am afraid of many things.,-2,-2,-3,-2,-2,-2,-2.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plunge into tasks with all my heart.,3,0,3,3,2,0,1.83333
Feel comfortable around people.,2,2,3,4,2,2,2.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Go on binges.,-3,-3,-2,-3,-3,-3,-2.83333
Love to daydream.,1,0,0,-1,0,0,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enjoy being part of a loud crowd.,-1,0,0,-4,2,0,-0.50000
Trust what people say.,1,2,1,1,2,2,1.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Can handle a lot of information.,2,2,2,2,3,2,2.16667
Handle tasks smoothly.,3,1,3,2,3,1,2.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seldom toot my own horn.,2,2,3,1,,2,2.00000
Get upset easily.,-3,-1,-4,-3,-2,-1,-2.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Get to work at once.,1,1,2,2,3,1,1.66667
Enjoy being part of a group.,2,0,3,3,3,0,1.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Can't make up my mind.,-1,-1,-2,-1,-2,-1,-1.33333
See beauty in things that others might not notice.,3,0,3,3,1,0,1.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laugh my way through life.,1,0,3,3,2,0,1.50000
Use flattery to get ahead.,-1,-1,-1,-1,-1,-1,-1.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Believe in one true religion.,0,0,0,-3,0,0,-0.50000
"Want everything to be ""just right.""",0,-1,-1,-1,1,-1,-0.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suffer from others' sorrows.,1,0,0,2,1,0,0.66667
Am often down in the dumps.,-2,-1,-2,-3,-3,-1,-2.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jump into things without thinking.,-2,-2,-1,-3,-2,-2,-2.00000
Can talk others into doing things.,3,1,-2,2,3,1,1.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Get caught up in my problems.,-4,-1,-1,-3,-3,-1,-2.16667
Am passionate about causes.,3,2,2,3,3,2,2.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cheer people up.,3,3,3,4,3,3,3.16667
Love to help others.,4,4,3,4,4,4,3.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indulge in my fantasies.,-1,0,0,-1,0,0,-0.33333
Pay my bills on time.,1,4,2,2,2,4,2.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Believe in human goodness.,3,3,3,4,2,3,3.00000
Find it difficult to approach others.,-1,-1,-1,-3,-3,-1,-1.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Come up with good solutions.,2,2,3,1,2,2,2.00000
Do a lot in my spare time.,3,0,1,1,2,0,1.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lose my temper.,-3,-3,-4,-3,-2,-3,-3.00000
Interested in many things.,2,0,1,2,1,0,1.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love surprise parties.,1,0,0,0,0,0,0.16667
Hate to seem pushy.,1,2,3,2,-2,2,1.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enjoy the beauty of nature.,2,2,2,2,0,2,1.66667
Turn plans into actions.,3,2,3,3,-2,2,1.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Know how to get around the rules.,1,2,0,-2,-2,-2,-0.50000
Do things I later regret.,-2,-2,-3,-3,-2,-2,-2.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do things according to a plan.,2,2,2,1,2,2,1.83333
Love action.,1,0,0,2,2,0,0.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Have frequent mood swings.,-2,-1,-3,-3,-2,-1,-2.00000
Have a rich vocabulary.,4,0,0,2,,0,1.20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Take control of things.,1,2,1,2,3,2,1.83333
Consider myself an average person.,1,2,0,-2,-4,2,-0.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Try to understand myself.,3,1,2,2,3,1,2.00000
Start tasks right away.,3,2,2,2,3,2,2.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Have a good word for everyone.,3,3,3,4,2,3,3.00000
Feel that I'm unable to deal with things.,-2,-2,-3,-3,-2,-2,-2.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to my conscience.,2,4,3,4,3,4,3.33333
Express childlike joy.,2,0,2,3,1,0,1.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only feel comfortable with friends.,-1,0,-1,-2,-1,0,-0.83333
Believe that criminals should receive help rather than punishment.,0,0,0,2,-1,0,0.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,React quickly.,-1,0,0,2,2,0,0.50000
Value cooperation over competition.,3,1,2,3,2,1,2.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prefer to stick with things that I know.,-1,0,-1,-2,-1,0,-0.83333
Stick to my chosen path.,1,0,0,-2,0,0,-0.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contradict others.,-1,-1,-2,-2,-1,-1,-1.33333
Get stressed out easily.,-2,-2,-3,-3,-3,-2,-2.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do more than what's expected of me.,3,3,2,3,4,3,3.00000
Act comfortably with others.,2,1,3,4,3,1,2.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love to eat.,-1,-1,0,-1,0,-1,-0.66667
Like to get lost in thought.,1,0,0,-1,-1,0,-0.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enjoy being reckless.,-2,0,-1,-4,-2,0,-1.50000
Believe that people are basically moral.,2,2,3,2,2,2,2.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enjoy thinking about things.,0,0,0,1,1,0,0.33333
Am sure of my ground.,3,1,3,1,3,1,2.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Believe that I am better than others.,-2,-2,-3,-4,-3,-2,-2.66667
Am often in a bad mood.,-3,-2,-3,-4,-3,-2,-2.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carry out my plans.,2,2,2,1,3,2,2.00000
Involve others in what I am doing.,2,1,2,2,2,1,1.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Get overwhelmed by emotions.,-2,0,-1,-3,-2,0,-1.33333
Love flowers.,0,0,0,0,1,0,0.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love life.,4,3,3,3,2,3,3.00000
Use others for my own ends.,-3,-2,-2,-4,-3,-2,-2.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tend to vote for conservative political candidates.,0,0,0,0,0,0,0.00000
Love order and regularity.,0,0,0,1,1,0,0.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am not interested in other people's problems.,-2,-1,-2,-3,-2,-1,-1.83333
Have a low opinion of myself.,-2,-1,-2,-3,-2,-1,-1.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Make rash decisions.,-2,2,-1,-3,-1,2,-0.50000
Seek to influence others.,1,0,0,2,,0,0.60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am not easily bothered by things.,2,2,3,2,2,2,2.16667
Enjoy examining myself and my life.,2,1,0,1,3,1,1.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am hard to get to know.,-1,-1,-2,-3,-1,-1,-1.50000
Am concerned about others.,3,3,3,4,-2,3,2.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spend time reflecting on things.,1,2,2,1,1,2,1.50000
Tell the truth.,3,4,4,3,3,4,3.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Think that all will be well.,3,2,0,2,1,2,1.66667
Am afraid to draw attention to myself.,-1,0,0,-2,1,0,-0.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Know how to get things done.,2,2,3,3,3,2,2.50000
Can manage many things at the same time.,2,2,2,1,2,2,1.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rarely get irritated.,2,1,3,2,2,1,1.83333
Like to begin new things.,2,1,1,2,2,1,1.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prefer to be alone.,-2,0,-2,-2,-1,0,-1.16667
Have a sharp tongue.,-2,-3,-2,-3,-2,-3,-2.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do not like art.,-1,0,0,0,-1,0,-0.33333
Plunge into tasks with all my heart.,3,0,3,3,2,0,1.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cheat to get ahead.,-3,-4,-3,-3,-4,-4,-3.50000
Go on binges.,-3,-3,-2,-3,-3,-3,-2.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Often forget to put things back in their proper place.,-1,-1,-1,-1,-1,-1,-1.00000
Enjoy being part of a loud crowd.,-1,0,0,-4,2,0,-0.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feel desperate.,-2,-2,-2,-2,-3,-2,-2.16667
Can handle a lot of information.,2,2,2,2,3,2,2.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wait for others to lead the way.,0,0,0,-2,-1,0,-0.50000
Seldom toot my own horn.,2,2,3,1,,2,2.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seldom get emotional.,1,0,-1,1,1,0,0.33333
Get to work at once.,1,1,2,2,3,1,1.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Look down on others.,-3,-3,-3,-3,-3,-3,-3.00000
Can't make up my mind.,-1,-1,-2,-1,-2,-1,-1.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Break rules.,2,-3,-1,-4,-1,-3,-1.66667
Laugh my way through life.,1,0,3,3,2,0,1.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stumble over my words.,-1,-1,-2,-2,-2,-1,-1.50000
Believe in one true religion.,0,0,0,-3,0,0,-0.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Like to take it easy.,0,0,1,-1,1,0,0.16667
Suffer from others' sorrows.,1,0,0,2,1,0,0.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dislike changes.,-1,-1,-2,-2,0,-1,-1.16667
Jump into things without thinking.,-2,-2,-1,-3,-2,-2,-2.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love a good fight.,-2,-2,-1,-2,-3,-2,-2.00000
Get caught up in my problems.,-4,-1,-1,-3,-3,-1,-2.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Set high standards for myself and others.,1,3,0,3,4,3,2.33333
Cheer people up.,3,3,3,4,3,3,3.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rarely overindulge.,2,1,1,2,1,1,1.33333
Indulge in my fantasies.,-1,0,0,-1,0,0,-0.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Act wild and crazy.,1,0,-2,-4,-2,0,-1.16667
Believe in human goodness.,3,3,3,4,2,3,3.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am not interested in abstract ideas.,-1,0,0,-1,-1,0,-0.50000
Come up with good solutions.,2,2,3,1,2,2,2.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Think highly of myself.,1,-1,0,1,-2,-1,-0.33333
Lose my temper.,-3,-3,-4,-3,-2,-3,-3.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Find it difficult to get down to work.,-2,-1,-2,-2,-3,-1,-1.83333
Love surprise parties.,1,0,0,0,0,0,0.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Remain calm under pressure.,1,2,3,2,3,2,2.16667
Enjoy the beauty of nature.,2,2,2,2,0,2,1.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Look at the bright side of life.,3,3,3,4,2,3,3.00000
Know how to get around the rules.,1,2,0,-2,-2,-2,-0.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Believe that too much tax money goes to support artists.,-1,0,0,-1,0,0,-0.33333
Do things according to a plan.,2,2,2,1,2,2,1.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tend to dislike soft-hearted people.,-2,-1,-3,-3,-2,-1,-2.00000
Have frequent mood swings.,-2,-1,-3,-3,-2,-1,-2.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Like to act on a whim.,0,0,0,-1,-1,0,-0.33333
Take control of things.,1,2,1,2,3,2,1.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am relaxed most of the time.,2,2,2,2,2,2,2.00000
Try to understand myself.,3,1,2,2,3,1,2.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Often feel uncomfortable around others.,-3,-1,-3,-4,-2,-1,-2.33333
Have a good word for everyone.,3,3,3,4,2,3,3.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seldom daydream.,-1,0,0,0,1,0,0.00000
Listen to my conscience.,2,4,3,4,3,4,3.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Distrust people.,-2,-1,0,-2,-2,-1,-1.33333
Only feel comfortable with friends.,-1,0,-1,-2,-1,0,-0.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Misjudge situations.,-1,-1,-2,-2,-3,-1,-1.66667
React quickly.,-1,0,0,2,2,0,0.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seldom get mad.,2,2,4,2,3,2,2.50000
Prefer to stick with things that I know.,-1,0,-1,-2,-1,0,-0.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Want to be left alone.,-2,-1,-2,-3,,-1,-1.80000
Contradict others.,-1,-1,-2,-2,-1,-1,-1.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do not like poetry.,0,0,0,0,-1,0,-0.16667
Do more than what's expected of me.,3,3,2,3,4,3,3.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Put people under pressure.,-2,0,-3,-2,,0,-1.40000
Love to eat.,-1,-1,0,-1,0,-1,-0.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leave a mess in my room.,-1,0,-1,-2,-1,0,-0.83333
Enjoy being reckless.,-2,0,-1,-4,-2,0,-1.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feel that my life lacks direction.,-2,-1,-2,-2,-2,-1,-1.66667
Enjoy thinking about things.,0,0,0,1,1,0,0.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keep in the background.,-1,0,0,-3,-1,0,-0.83333
Believe that I am better than others.,-2,-2,-3,-4,-3,-2,-2.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am not easily affected by my emotions.,2,0,0,1,2,0,0.83333
Carry out my plans.,2,2,2,1,3,2,2.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am indifferent to the feelings of others.,-2,-2,-4,-4,-3,-2,-2.83333
Get overwhelmed by emotions.,-2,0,-1,-3,-2,0,-1.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Break my promises.,-3,-4,-4,-3,-3,-4,-3.50000
Love life.,4,3,3,3,2,3,3.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am not embarrassed easily.,1,0,2,1,2,0,1.00000
Tend to vote for conservative political candidates.,0,0,0,0,0,0,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Like to take my time.,0,0,0,1,4,0,0.83333
Am not interested in other people's problems.,-2,-1,-2,-3,-2,-1,-1.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Don't like the idea of change.,-1,-1,-1,-2,-1,-1,-1.16667
Make rash decisions.,-2,2,-1,-3,-1,2,-0.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yell at people.,-4,-4,-3,-4,2,-4,-2.83333
Am not easily bothered by things.,2,2,3,2,2,2,2.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Demand quality.,2,2,0,2,3,2,1.83333
Am hard to get to know.,-1,-1,-2,-3,-1,-1,-1.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easily resist temptations.,2,0,2,3,2,0,1.50000
Spend time reflecting on things.,1,2,2,1,1,2,1.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Willing to try anything once.,1,0,3,2,2,0,1.33333
Think that all will be well.,3,2,0,2,1,2,1.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avoid philosophical discussions.,-1,0,-1,0,-1,0,-0.50000
Know how to get things done.,2,2,3,3,3,2,2.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Have a high opinion of myself.,2,-1,-1,-2,-1,-1,-0.66667
Rarely get irritated.,2,1,3,2,2,1,1.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waste my time.,-2,-2,-2,-2,-2,-2,-2.00000
Prefer to be alone.,-2,0,-2,-2,-1,0,-1.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Can handle complex problems.,2,1,3,3,4,1,2.33333
Do not like art.,-1,0,0,0,-1,0,-0.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laugh aloud.,2,1,3,4,3,1,2.33333
Cheat to get ahead.,-3,-4,-3,-3,-4,-4,-3.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Believe laws should be strictly enforced.,1,1,0,-1,-1,1,0.16667
Often forget to put things back in their proper place.,-1,-1,-1,-1,-1,-1,-1.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Believe in an eye for an eye.,-1,0,-2,-1,-2,0,-1.00000
