"","form","item"
"159","Egyptian",287
"103","moderate.hook",288
"185","opposite.hook",289
"65","extreme.hook",290
"238","Witches.hat",291
"385","moderate.hump..hook.more.toward.center.",292
"242","Witches.hat",293
"64","extreme.hook",294
"333","Meh",295
"254","Witches.hat",296
"234","Witches.hat",297
"253","Witches.hat",298
"49","extreme.hook",299
"21","Linear..positive.slope.",300
